ProductKey,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Profit
1,Contoso 512MB MP3 Player E51 Silver,Contoso,Silver,6.62,12.99,101,MP4&MP3,1,Audio,6.37
2,Contoso 512MB MP3 Player E51 Blue,Contoso,Blue,6.62,12.99,101,MP4&MP3,1,Audio,6.37
3,Contoso 1G MP3 Player E100 White,Contoso,White,7.4,14.52,101,MP4&MP3,1,Audio,7.119999999999999
4,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,11.0,21.57,101,MP4&MP3,1,Audio,10.57
5,Contoso 2G MP3 Player E200 Red,Contoso,Red,11.0,21.57,101,MP4&MP3,1,Audio,10.57
6,Contoso 2G MP3 Player E200 Black,Contoso,Black,11.0,21.57,101,MP4&MP3,1,Audio,10.57
7,Contoso 2G MP3 Player E200 Blue,Contoso,Blue,11.0,21.57,101,MP4&MP3,1,Audio,10.57
8,Contoso 4G MP3 Player E400 Silver,Contoso,Silver,30.58,59.99,101,MP4&MP3,1,Audio,29.410000000000004
9,Contoso 4G MP3 Player E400 Black,Contoso,Black,30.58,59.99,101,MP4&MP3,1,Audio,29.410000000000004
10,Contoso 4G MP3 Player E400 Green,Contoso,Green,30.58,59.99,101,MP4&MP3,1,Audio,29.410000000000004
11,Contoso 4G MP3 Player E400 Orange,Contoso,Orange,30.58,59.99,101,MP4&MP3,1,Audio,29.410000000000004
12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,35.72,77.68,101,MP4&MP3,1,Audio,41.96000000000001
13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Black,35.72,77.68,101,MP4&MP3,1,Audio,41.96000000000001
14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Silver,35.72,77.68,101,MP4&MP3,1,Audio,41.96000000000001
15,Contoso 4GB Flash MP3 Player E401 White,Contoso,White,35.72,77.68,101,MP4&MP3,1,Audio,41.96000000000001
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,White,50.56,109.95,101,MP4&MP3,1,Audio,59.39
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,Red,50.56,109.95,101,MP4&MP3,1,Audio,59.39
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,Green,50.56,109.95,101,MP4&MP3,1,Audio,59.39
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,Pink,50.56,109.95,101,MP4&MP3,1,Audio,59.39
20,Contoso 8GB MP3 Player new model M820 Black,Contoso,Black,61.62,134.0,101,MP4&MP3,1,Audio,72.38
21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,Blue,61.62,134.0,101,MP4&MP3,1,Audio,72.38
22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,Yellow,61.62,134.0,101,MP4&MP3,1,Audio,72.38
23,Contoso 8GB MP3 Player new model M820 White,Contoso,White,61.62,134.0,101,MP4&MP3,1,Audio,72.38
24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,91.93,199.9,101,MP4&MP3,1,Audio,107.97
25,Contoso 16GB Mp5 Player M1600 Black,Contoso,Black,91.93,199.9,101,MP4&MP3,1,Audio,107.97
26,Contoso 16GB Mp5 Player M1600 Green,Contoso,Green,91.93,199.9,101,MP4&MP3,1,Audio,107.97
27,Contoso 16GB Mp5 Player M1600 White,Contoso,White,91.93,199.9,101,MP4&MP3,1,Audio,107.97
28,Contoso 16GB Mp5 Player M1600 Red,Contoso,Red,91.93,199.9,101,MP4&MP3,1,Audio,107.97
29,Contoso 32GB Video MP3 Player M3200 White,Contoso,White,84.49,255.0,101,MP4&MP3,1,Audio,170.51
30,Contoso 32GB Video MP3 Player M3200 Red,Contoso,Red,84.49,255.0,101,MP4&MP3,1,Audio,170.51
