iter	RMSE
0	936.6265651
1	871.300215
2	812.6966551
3	763.3597956
4	718.3128825
5	680.8313002
6	648.6588936
7	619.4210137
8	593.2452969
9	570.6723638
10	551.9791976
11	535.4013776
12	521.957766
13	508.9755288
14	499.1594233
15	489.8602845
16	482.059948
17	476.1997065
18	470.0899307
19	464.4368
20	459.7309701
21	455.6514643
22	451.0739861
23	447.831713
24	443.9420033
25	440.1021387
26	436.8388583
27	433.25916
28	430.3402165
29	427.958185
30	425.1672983
31	422.6786372
32	420.8534995
33	418.3232006
34	416.5719763
35	414.5968512
36	412.4777355
37	410.3592766
38	409.3054192
39	407.6535105
40	406.629833
41	405.2381129
42	403.9732718
43	402.6975197
44	401.9358891
45	400.9246562
46	400.5003801
47	399.8687778
48	399.5386807
49	398.0964373
50	396.9736988
51	396.2158799
52	395.3005661
53	394.4213677
54	393.8034956
55	393.3734536
56	392.7608543
57	392.3459585
58	392.1694787
59	391.4196798
60	390.6190059
61	390.2808925
62	389.4318958
63	388.5726023
64	388.0317429
65	387.9215659
66	387.2674694
67	387.0595412
68	386.9106812
69	386.1957181
70	385.9296782
71	385.4963413
72	385.3009603
73	384.8957965
74	384.3796253
75	384.1921665
76	383.8958373
77	383.5607141
78	383.3631719
79	383.1521866
80	382.6163232
81	382.2734094
82	381.7933396
83	381.4840533
84	381.1851632
85	380.9627556
86	380.7955613
87	380.6012381
88	380.327337
89	380.144239
90	379.9869936
91	379.8712341
92	379.6488391
93	379.4498454
94	379.2620516
95	378.8713792
96	378.4967088
97	378.3011668
98	377.8008052
99	377.7127328
