iter	Passed	Remaining
0	164	16271
1	176	8664
2	187	6076
3	198	4775
4	210	3990
5	221	3462
6	232	3082
7	242	2791
8	253	2562
9	264	2377
10	275	2227
11	286	2099
12	297	1988
13	308	1892
14	319	1807
15	329	1731
16	340	1663
17	351	1601
18	362	1545
19	373	1493
20	384	1447
21	397	1409
22	410	1375
23	421	1335
24	432	1298
25	443	1261
26	453	1225
27	463	1191
28	473	1159
29	484	1129
30	494	1099
31	504	1071
32	514	1045
33	526	1021
34	537	997
35	549	977
36	561	955
37	573	935
38	585	915
39	599	899
40	612	881
41	623	861
42	635	841
43	645	821
44	657	803
45	669	785
46	680	767
47	692	749
48	704	733
49	715	715
50	725	697
51	736	679
52	747	662
53	757	645
54	768	629
55	780	613
56	792	597
57	802	581
58	813	565
59	823	549
60	834	533
61	845	518
62	855	502
63	866	487
64	878	472
65	888	457
66	899	442
67	910	428
68	920	413
69	931	399
70	943	385
71	953	370
72	964	356
73	975	342
74	985	328
75	996	314
76	1007	300
77	1018	287
78	1029	273
79	1041	260
80	1052	246
81	1065	233
82	1076	220
83	1089	207
84	1101	194
85	1113	181
86	1123	167
87	1135	154
88	1146	141
89	1156	128
90	1166	115
91	1178	102
92	1189	89
93	1199	76
94	1210	63
95	1220	50
96	1230	38
97	1242	25
98	1253	12
99	1263	0
